,name,county,median_income,county2,CODE,COUNTY
MAHWAH,Mahwah,Bergen,107336,BERGEN,233.0,Bergen County
MANALAPAN,Manalapan,Monmouth,107569,MONMOUTH,1328.0,Monmouth County
MANASQUAN,Manasquan,Monmouth,93200,MONMOUTH,1329.0,Monmouth County
MANCHESTER,Manchester,Ocean,40154,OCEAN,1519.0,Ocean County
MANNINGTON,Mannington,Salem,72917,SALEM,1706.0,Salem County
MANSFIELD,Mansfield,Burlington,92594,BURLINGTON,318.0,Burlington County
MANSFIELD,Mansfield,Burlington,92594,BURLINGTON,2116.0,Warren County
MANSFIELD TOWNSHIP,Mansfield Township,Warren,59850,WARREN,,
MANTOLOKING,Mantoloking,Ocean,126250,OCEAN,1520.0,Ocean County
MANTUA,Mantua,Gloucester,82673,GLOUCESTER,810.0,Gloucester County
MANVILLE,Manville,Somerset,64514,SOMERSET,1811.0,Somerset County
MAPLE SHADE,Maple Shade,Burlington,57977,BURLINGTON,319.0,Burlington County
MAPLEWOOD,Maplewood,Essex,118242,ESSEX,711.0,Essex County
MARGATE,Margate,Atlantic,67138,ATLANTIC,,
MARLBORO,Marlboro,Monmouth,137805,MONMOUTH,1330.0,Monmouth County
MATAWAN,Matawan,Monmouth,81420,MONMOUTH,1331.0,Monmouth County
MAURICE RIVER,Maurice River,Cumberland,63333,CUMBERLAND,609.0,Cumberland County
MAYWOOD,Maywood,Bergen,81339,BERGEN,234.0,Bergen County
MEDFORD,Medford,Burlington,109015,BURLINGTON,320.0,Burlington County
MEDFORD LAKES,Medford Lakes,Burlington,100024,BURLINGTON,321.0,Burlington County
MENDHAM BOROUGH,Mendham Borough,Morris,129853,MORRIS,,
MENDHAM TOWNSHIP,Mendham Township,Morris,170160,MORRIS,,
MERCHANTVILLE,Merchantville,Camden,69833,CAMDEN,424.0,Camden County
METUCHEN,Metuchen,Middlesex,112971,MIDDLESEX,1209.0,Middlesex County
MIDDLE TOWNSHIP,Middle Township,Cape May,62887,CAPE MAY,,
MIDDLESEX BORO,Middlesex Boro,Middlesex,79327,MIDDLESEX,,
MIDDLETOWN,Middletown,Monmouth,102474,MONMOUTH,1332.0,Monmouth County
MIDLAND PARK,Midland Park,Bergen,89130,BERGEN,235.0,Bergen County
MILFORD,Milford,Hunterdon,78681,HUNTERDON,1020.0,Hunterdon County
MILLBURN,Millburn,Essex,184783,ESSEX,712.0,Essex County
MILLSTONE,Millstone,Monmouth,130109,MONMOUTH,1333.0,Monmouth County
MILLSTONE,Millstone,Monmouth,130109,MONMOUTH,1812.0,Somerset County
MILLSTONE,Millstone,Somerset,103000,SOMERSET,1333.0,Monmouth County
MILLSTONE,Millstone,Somerset,103000,SOMERSET,1812.0,Somerset County
MILLTOWN,Milltown,Middlesex,101685,MIDDLESEX,1211.0,Middlesex County
MILLVILLE,Millville,Cumberland,49133,CUMBERLAND,610.0,Cumberland County
MINE HILL,Mine Hill,Morris,95000,MORRIS,1420.0,Morris County
MONMOUTH BEACH,Monmouth Beach,Monmouth,103287,MONMOUTH,1334.0,Monmouth County
MONROE,Monroe,Gloucester,74212,GLOUCESTER,811.0,Gloucester County
MONROE,Monroe,Gloucester,74212,GLOUCESTER,1212.0,Middlesex County
MONROE,Monroe,Middlesex,70357,MIDDLESEX,811.0,Gloucester County
MONROE,Monroe,Middlesex,70357,MIDDLESEX,1212.0,Middlesex County
MONTAGUE TOWNSHIP,Montague Township,Sussex,57150,SUSSEX,,
MONTCLAIR,Montclair,Essex,99105,ESSEX,713.0,Essex County
MONTGOMERY TOWNSHIP,Montgomery Township,Somerset,155334,SOMERSET,,
MONTVALE,Montvale,Bergen,110635,BERGEN,236.0,Bergen County
MONTVILLE,Montville,Morris,122260,MORRIS,1421.0,Morris County
MOONACHIE,Moonachie,Bergen,55179,BERGEN,237.0,Bergen County
MOORESTOWN,Moorestown,Burlington,121637,BURLINGTON,322.0,Burlington County
MORRIS PLAINS,Morris Plains,Morris,110817,MORRIS,1423.0,Morris County
MORRIS TOWNSHIP,Morris Township,Morris,127805,MORRIS,,
MORRISTOWN,Morristown,Morris,77407,MORRIS,1424.0,Morris County
MOUNT ARLINGTON,Mount Arlington,Morris,84912,MORRIS,1426.0,Morris County
MOUNT EPHRAIM,Mount Ephraim,Camden,61715,CAMDEN,425.0,Camden County
MOUNT HOLLY,Mount Holly,Burlington,58884,BURLINGTON,,
MOUNT LAUREL,Mount Laurel,Burlington,87724,BURLINGTON,,
MOUNT OLIVE,Mount Olive,Morris,88333,MORRIS,1427.0,Morris County
MOUNTAIN LAKES,Mountain Lakes,Morris,164432,MORRIS,1425.0,Morris County
MOUNTAINSIDE,Mountainside,Union,133571,UNION,2010.0,Union County
MULLICA TOWNSHIP,Mullica Township,Atlantic,67269,ATLANTIC,,
NATIONAL PARK,National Park,Gloucester,57356,GLOUCESTER,812.0,Gloucester County
NEPTUNE CITY,Neptune City,Monmouth,55728,MONMOUTH,1336.0,Monmouth County
NEPTUNE TOWNSHIP,Neptune Township,Monmouth,62992,MONMOUTH,,
NETCONG,Netcong,Morris,54659,MORRIS,1428.0,Morris County
NEW BRUNSWICK,New Brunswick,Middlesex,38435,MIDDLESEX,1213.0,Middlesex County
NEW HANOVER,New Hanover,Burlington,81500,BURLINGTON,325.0,Burlington County
NEW MILFORD,New Milford,Bergen,78077,BERGEN,238.0,Bergen County
NEW PROVIDENCE,New Providence,Union,130057,UNION,2011.0,Union County
NEWARK,Newark,Essex,33139,ESSEX,714.0,Essex County
NEWFIELD,Newfield,Gloucester,70556,GLOUCESTER,813.0,Gloucester County
NEWTON,Newton,Sussex,48409,SUSSEX,1915.0,Sussex County
NORTH ARLINGTON,North Arlington,Bergen,66484,BERGEN,239.0,Bergen County
NORTH BERGEN,North Bergen,Hudson,55222,HUDSON,908.0,Hudson County
NORTH BRUNSWICK,North Brunswick,Middlesex,80358,MIDDLESEX,1214.0,Middlesex County
NORTH CALDWELL,North Caldwell,Essex,200152,ESSEX,715.0,Essex County
NORTH HALEDON,North Haledon,Passaic,96161,PASSAIC,1606.0,Passaic County
NORTH HANOVER,North Hanover,Burlington,54280,BURLINGTON,,
NORTH PLAINFIELD,North Plainfield,Somerset,66272,SOMERSET,1814.0,Somerset County
NORTH WILDWOOD,North Wildwood,Cape May,43941,CAPE MAY,,
NORTHFIELD,Northfield,Atlantic,68854,ATLANTIC,118.0,Atlantic County
NORTHVALE,Northvale,Bergen,84881,BERGEN,240.0,Bergen County
NORWOOD,Norwood,Bergen,92203,BERGEN,241.0,Bergen County
NUTLEY,Nutley,Essex,84974,ESSEX,716.0,Essex County
OAKLAND,Oakland,Bergen,109258,BERGEN,242.0,Bergen County
OAKLYN,Oaklyn,Camden,67969,CAMDEN,426.0,Camden County
OCEAN CITY,Ocean City,Cape May,57813,CAPE MAY,,
OCEAN GATE,Ocean Gate,Ocean,66667,OCEAN,1522.0,Ocean County
OCEAN TOWNSHIP,Ocean Township,Monmouth,80323,MONMOUTH,,
OCEAN TOWNSHIP,Ocean Township,Ocean,67997,OCEAN,,
OCEANPORT,Oceanport,Monmouth,90238,MONMOUTH,1338.0,Monmouth County
OGDENSBURG,Ogdensburg,Sussex,79271,SUSSEX,1916.0,Sussex County
OLD BRIDGE,Old Bridge,Middlesex,83750,MIDDLESEX,1215.0,Middlesex County
OLD TAPPAN,Old Tappan,Bergen,116285,BERGEN,243.0,Bergen County
OLDMANS,Oldmans,Salem,72045,SALEM,1707.0,Salem County
ORADELL,Oradell,Bergen,141550,BERGEN,244.0,Bergen County
OXFORD,Oxford,Warren,72311,WARREN,2117.0,Warren County
PALISADES PARK,Palisades Park,Bergen,64726,BERGEN,245.0,Bergen County
PALMYRA,Palmyra,Burlington,64766,BURLINGTON,327.0,Burlington County
PARAMUS,Paramus,Bergen,100272,BERGEN,246.0,Bergen County
PARK RIDGE,Park Ridge,Bergen,104047,BERGEN,247.0,Bergen County
PARSIPPANY-TROY HILLS,Parsippany-Troy Hills,Morris,89385,MORRIS,,
PASSAIC,Passaic,Passaic,31832,PASSAIC,1607.0,Passaic County
PATERSON,Paterson,Passaic,32915,PASSAIC,1608.0,Passaic County
PAULSBORO,Paulsboro,Gloucester,40925,GLOUCESTER,814.0,Gloucester County
PEAPACK AND GLADSTONE,Peapack and Gladstone,Somerset,132250,SOMERSET,,
PEMBERTON,Pemberton,Burlington,67098,BURLINGTON,328.0,Burlington County
PEMBERTON,Pemberton,Burlington,67098,BURLINGTON,329.0,Burlington County
PEMBERTON,Pemberton,Burlington,61039,BURLINGTON,328.0,Burlington County
PEMBERTON,Pemberton,Burlington,61039,BURLINGTON,329.0,Burlington County
PENNINGTON,Pennington,Mercer,115536,MERCER,1108.0,Mercer County
PENNS GROVE,Penns Grove,Salem,31406,SALEM,1708.0,Salem County
PENNSAUKEN,Pennsauken,Camden,63279,CAMDEN,427.0,Camden County
PENNSVILLE,Pennsville,Salem,58939,SALEM,1709.0,Salem County
PEQUANNOCK,Pequannock,Morris,87464,MORRIS,1431.0,Morris County
PERTH AMBOY,Perth Amboy,Middlesex,44024,MIDDLESEX,1216.0,Middlesex County
PHILLIPSBURG,Phillipsburg,Warren,44537,WARREN,2119.0,Warren County
PILESGROVE,Pilesgrove,Salem,86523,SALEM,1710.0,Salem County
PINE BEACH,Pine Beach,Ocean,89750,OCEAN,1523.0,Ocean County
PINE HILL,Pine Hill,Camden,50184,CAMDEN,428.0,Camden County
PISCATAWAY,Piscataway,Middlesex,88494,MIDDLESEX,1217.0,Middlesex County
PITMAN,Pitman,Gloucester,73616,GLOUCESTER,815.0,Gloucester County
PITTSGROVE,Pittsgrove,Salem,68785,SALEM,1711.0,Salem County
PLAINFIELD,Plainfield,Union,54500,UNION,2012.0,Union County
PLAINSBORO,Plainsboro,Middlesex,96480,MIDDLESEX,1218.0,Middlesex County
PLEASANTVILLE,Pleasantville,Atlantic,41633,ATLANTIC,119.0,Atlantic County
PLUMSTED TOWNSHIP,Plumsted Township,Ocean,86694,OCEAN,,
POHATCONG,Pohatcong,Warren,66556,WARREN,2120.0,Warren County
POINT PLEASANT BEACH,Point Pleasant Beach,Ocean,76174,OCEAN,,
POINT PLEASANT BORO,Point Pleasant Boro,Ocean,89779,OCEAN,,
POMPTON LAKES,Pompton Lakes,Passaic,87004,PASSAIC,1609.0,Passaic County
PORT REPUBLIC,Port Republic,Atlantic,84688,ATLANTIC,120.0,Atlantic County
PRINCETON,Princeton,Mercer,114645,MERCER,,
PROSPECT PARK,Prospect Park,Passaic,53889,PASSAIC,1610.0,Passaic County
QUINTON TOWNSHIP,Quinton Township,Salem,64722,SALEM,,
RAHWAY,Rahway,Union,60374,UNION,2013.0,Union County
RAMSEY,Ramsey,Bergen,135387,BERGEN,248.0,Bergen County
RANDOLPH,Randolph,Morris,120392,MORRIS,1432.0,Morris County
RARITAN,Raritan,Hunterdon,114569,HUNTERDON,1021.0,Hunterdon County
RARITAN,Raritan,Hunterdon,114569,HUNTERDON,1816.0,Somerset County
RARITAN,Raritan,Somerset,73827,SOMERSET,1021.0,Hunterdon County
RARITAN,Raritan,Somerset,73827,SOMERSET,1816.0,Somerset County
READINGTON,Readington,Hunterdon,118125,HUNTERDON,1022.0,Hunterdon County
RED BANK,Red Bank,Monmouth,62028,MONMOUTH,1339.0,Monmouth County
RIDGEFIELD,Ridgefield,Bergen,68843,BERGEN,249.0,Bergen County
RIDGEFIELD PARK,Ridgefield Park,Bergen,63841,BERGEN,250.0,Bergen County
RIDGEWOOD,Ridgewood,Bergen,147823,BERGEN,251.0,Bergen County
RINGWOOD,Ringwood,Passaic,108638,PASSAIC,1611.0,Passaic County
RIVER EDGE,River Edge,Bergen,103607,BERGEN,,
RIVER VALE,River Vale,Bergen,132265,BERGEN,,
RIVERDALE,Riverdale,Morris,87274,MORRIS,1433.0,Morris County
RIVERSIDE,Riverside,Burlington,54492,BURLINGTON,330.0,Burlington County
RIVERTON,Riverton,Burlington,92125,BURLINGTON,331.0,Burlington County
ROBBINSVILLE,Robbinsville,Mercer,116686,MERCER,1112.0,Mercer County
ROCHELLE PARK,Rochelle Park,Bergen,73512,BERGEN,254.0,Bergen County
ROCKAWAY,Rockaway,Morris,100303,MORRIS,1434.0,Morris County
ROCKAWAY,Rockaway,Morris,100303,MORRIS,1435.0,Morris County
ROCKAWAY BOROUGH,Rockaway Borough,Morris,78604,MORRIS,,
ROCKLEIGH,Rockleigh,Bergen,133125,BERGEN,255.0,Bergen County
ROCKY HILL,Rocky Hill,Somerset,104219,SOMERSET,1817.0,Somerset County
ROOSEVELT,Roosevelt,Monmouth,72321,MONMOUTH,1340.0,Monmouth County
ROSELAND,Roseland,Essex,101786,ESSEX,718.0,Essex County
ROSELLE,Roselle,Union,43397,UNION,2014.0,Union County
ROSELLE PARK,Roselle Park,Union,63021,UNION,2015.0,Union County
ROXBURY,Roxbury,Morris,105105,MORRIS,1436.0,Morris County
RUMSON,Rumson,Monmouth,136538,MONMOUTH,1341.0,Monmouth County
RUNNEMEDE,Runnemede,Camden,61885,CAMDEN,430.0,Camden County
RUTHERFORD,Rutherford,Bergen,84778,BERGEN,256.0,Bergen County
SADDLE BROOK,Saddle Brook,Bergen,80543,BERGEN,257.0,Bergen County
SADDLE RIVER,Saddle River,Bergen,121026,BERGEN,258.0,Bergen County
SALEM,Salem,Salem,26320,SALEM,1713.0,Salem County
SANDYSTON,Sandyston,Sussex,74875,SUSSEX,1917.0,Sussex County
SAYREVILLE,Sayreville,Middlesex,80386,MIDDLESEX,1219.0,Middlesex County
SCOTCH PLAINS,Scotch Plains,Union,110908,UNION,2016.0,Union County
SEA BRIGHT,Sea Bright,Monmouth,83244,MONMOUTH,1342.0,Monmouth County
SEA GIRT,Sea Girt,Monmouth,108333,MONMOUTH,1343.0,Monmouth County
SEA ISLE CITY,Sea Isle City,Cape May,66683,CAPE MAY,,
SEASIDE HEIGHTS,Seaside Heights,Ocean,33958,OCEAN,1527.0,Ocean County
SEASIDE PARK,Seaside Park,Ocean,72981,OCEAN,1528.0,Ocean County
SECAUCUS,Secaucus,Hudson,86061,HUDSON,909.0,Hudson County
SHAMONG,Shamong,Burlington,94777,BURLINGTON,332.0,Burlington County
SHILOH,Shiloh,Cumberland,67292,CUMBERLAND,611.0,Cumberland County
SHIP BOTTOM,Ship Bottom,Ocean,63977,OCEAN,1529.0,Ocean County
SHREWSBURY,Shrewsbury,Monmouth,116087,MONMOUTH,1344.0,Monmouth County
SHREWSBURY,Shrewsbury,Monmouth,116087,MONMOUTH,1345.0,Monmouth County
SHREWSBURY,Shrewsbury,Monmouth,50909,MONMOUTH,1344.0,Monmouth County
SHREWSBURY,Shrewsbury,Monmouth,50909,MONMOUTH,1345.0,Monmouth County
SOMERDALE,Somerdale,Camden,51633,CAMDEN,431.0,Camden County
SOMERS POINT,Somers Point,Atlantic,50450,ATLANTIC,121.0,Atlantic County
SOMERVILLE,Somerville,Somerset,70643,SOMERSET,1818.0,Somerset County
SOUTH AMBOY,South Amboy,Middlesex,64293,MIDDLESEX,1220.0,Middlesex County
SOUTH BOUND BROOK,South Bound Brook,Somerset,72180,SOMERSET,,
SOUTH BRUNSWICK,South Brunswick,Middlesex,109551,MIDDLESEX,1221.0,Middlesex County
SOUTH HACKENSACK,South Hackensack,Bergen,63693,BERGEN,,
SOUTH HARRISON,South Harrison,Gloucester,116375,GLOUCESTER,,
SOUTH ORANGE,South Orange,Essex,116727,ESSEX,,
SOUTH PLAINFIELD,South Plainfield,Middlesex,86404,MIDDLESEX,1222.0,Middlesex County
SOUTH RIVER,South River,Middlesex,62972,MIDDLESEX,1223.0,Middlesex County
SOUTH TOMS RIVER,South Toms River,Ocean,66250,OCEAN,1530.0,Ocean County
SOUTHAMPTON,Southampton,Burlington,55432,BURLINGTON,333.0,Burlington County
SPARTA,Sparta,Sussex,131182,SUSSEX,1918.0,Sussex County
SPOTSWOOD,Spotswood,Middlesex,74696,MIDDLESEX,1224.0,Middlesex County
SPRING LAKE,Spring Lake,Monmouth,101500,MONMOUTH,1347.0,Monmouth County
SPRING LAKE HEIGHTS,Spring Lake Heights,Monmouth,72353,MONMOUTH,1348.0,Monmouth County
SPRINGFIELD,Springfield,Burlington,105852,BURLINGTON,334.0,Burlington County
SPRINGFIELD,Springfield,Burlington,105852,BURLINGTON,2017.0,Union County
SPRINGFIELD,Springfield,Union,99211,UNION,334.0,Burlington County
SPRINGFIELD,Springfield,Union,99211,UNION,2017.0,Union County
STAFFORD TOWNSHIP,Stafford Township,Ocean,69268,OCEAN,,
STANHOPE,Stanhope,Sussex,81311,SUSSEX,1919.0,Sussex County
STILLWATER,Stillwater,Sussex,79392,SUSSEX,1920.0,Sussex County
STOCKTON,Stockton,Hunterdon,90938,HUNTERDON,1023.0,Hunterdon County
STONE HARBOR,Stone Harbor,Cape May,81111,CAPE MAY,,
STOW CREEK,Stow Creek,Cumberland,72159,CUMBERLAND,612.0,Cumberland County
STRATFORD,Stratford,Camden,67556,CAMDEN,432.0,Camden County
SUMMIT,Summit,Union,129583,UNION,2018.0,Union County
SURF CITY,Surf City,Ocean,66597,OCEAN,1532.0,Ocean County
SUSSEX,Sussex,Sussex,37241,SUSSEX,1921.0,Sussex County
SWEDESBORO,Swedesboro,Gloucester,75595,GLOUCESTER,817.0,Gloucester County
TABERNACLE,Tabernacle,Burlington,98375,BURLINGTON,335.0,Burlington County
TEANECK,Teaneck,Bergen,96760,BERGEN,260.0,Bergen County
TENAFLY,Tenafly,Bergen,147196,BERGEN,261.0,Bergen County
TETERBORO,Teterboro,Bergen,33068,BERGEN,262.0,Bergen County
TEWKSBURY,Tewksbury,Hunterdon,165552,HUNTERDON,1024.0,Hunterdon County
TINTON FALLS,Tinton Falls,Monmouth,73891,MONMOUTH,1349.0,Monmouth County
TOMS RIVER,Toms River,Ocean,71960,OCEAN,1508.0,Ocean County
TOTOWA,Totowa,Passaic,88490,PASSAIC,1612.0,Passaic County
TRENTON,Trenton,Mercer,34257,MERCER,1111.0,Mercer County
TUCKERTON,Tuckerton,Ocean,64273,OCEAN,1533.0,Ocean County
UNION BEACH,Union Beach,Monmouth,66662,MONMOUTH,1350.0,Monmouth County
UNION CITY,Union City,Hudson,41107,HUDSON,910.0,Hudson County
UNION TOWNSHIP,Union Township,Hunterdon,122527,HUNTERDON,,
UNION TOWNSHIP,Union Township,Union,75742,UNION,,
UPPER DEERFIELD,Upper Deerfield,Cumberland,53547,CUMBERLAND,613.0,Cumberland County
UPPER FREEHOLD,Upper Freehold,Monmouth,127753,MONMOUTH,1351.0,Monmouth County
UPPER PITTSGROVE,Upper Pittsgrove,Salem,90042,SALEM,1714.0,Salem County
UPPER SADDLE RIVER,Upper Saddle River,Bergen,169301,BERGEN,,
UPPER TOWNSHIP,Upper Township,Cape May,77012,CAPE MAY,,
VENTNOR CITY,Ventnor City,Atlantic,50978,ATLANTIC,,
VERNON,Vernon,Sussex,87779,SUSSEX,1922.0,Sussex County
VERONA,Verona,Essex,101528,ESSEX,720.0,Essex County
VICTORY GARDENS,Victory Gardens,Morris,39811,MORRIS,1437.0,Morris County
VINELAND,Vineland,Cumberland,49453,CUMBERLAND,614.0,Cumberland County
VOORHEES,Voorhees,Camden,78568,CAMDEN,434.0,Camden County
WALDWICK,Waldwick,Bergen,108182,BERGEN,264.0,Bergen County
WALL,Wall,Monmouth,92539,MONMOUTH,1352.0,Monmouth County
WALLINGTON,Wallington,Bergen,55547,BERGEN,265.0,Bergen County
WALPACK,Walpack,Sussex,16667,SUSSEX,1923.0,Sussex County
WANAQUE,Wanaque,Passaic,88125,PASSAIC,1613.0,Passaic County
WANTAGE,Wantage,Sussex,87300,SUSSEX,1924.0,Sussex County
WARREN,Warren,Somerset,143833,SOMERSET,1820.0,Somerset County
WASHINGTON,Washington,Warren,88322,WARREN,266.0,Bergen County
WASHINGTON,Washington,Warren,88322,WARREN,336.0,Burlington County
WASHINGTON,Washington,Warren,88322,WARREN,818.0,Gloucester County
WASHINGTON,Washington,Warren,88322,WARREN,1438.0,Morris County
WASHINGTON,Washington,Warren,88322,WARREN,2121.0,Warren County
WASHINGTON,Washington,Warren,88322,WARREN,2122.0,Warren County
WASHINGTON,Washington,Warren,61625,WARREN,266.0,Bergen County
WASHINGTON,Washington,Warren,61625,WARREN,336.0,Burlington County
WASHINGTON,Washington,Warren,61625,WARREN,818.0,Gloucester County
WASHINGTON,Washington,Warren,61625,WARREN,1438.0,Morris County
WASHINGTON,Washington,Warren,61625,WARREN,2121.0,Warren County
WASHINGTON,Washington,Warren,61625,WARREN,2122.0,Warren County
WASHINGTON TOWNSHIP,Washington Township,Morris,124177,MORRIS,,
WASHINGTON TOWNSHIP,Washington Township,Bergen,115571,BERGEN,,
WASHINGTON TOWNSHIP,Washington Township,Gloucester,85892,GLOUCESTER,,
WASHINGTON TOWNSHIP,Washington Township,Burlington,64375,BURLINGTON,,
WATCHUNG,Watchung,Somerset,140163,SOMERSET,1821.0,Somerset County
WATERFORD,Waterford,Camden,74250,CAMDEN,435.0,Camden County
WAYNE,Wayne,Passaic,106357,PASSAIC,1614.0,Passaic County
WEEHAWKEN,Weehawken,Hudson,75388,HUDSON,911.0,Hudson County
WENONAH,Wenonah,Gloucester,104375,GLOUCESTER,819.0,Gloucester County
WEST AMWELL,West Amwell,Hunterdon,103875,HUNTERDON,1026.0,Hunterdon County
WEST CALDWELL,West Caldwell,Essex,99708,ESSEX,721.0,Essex County
WEST CAPE MAY,West Cape May,Cape May,49839,CAPE MAY,,
WEST DEPTFORD,West Deptford,Gloucester,66964,GLOUCESTER,820.0,Gloucester County
WEST LONG BRANCH,West Long Branch,Monmouth,80585,MONMOUTH,1353.0,Monmouth County
WEST MILFORD,West Milford,Passaic,98556,PASSAIC,1615.0,Passaic County
WEST NEW YORK,West New York,Hudson,45370,HUDSON,912.0,Hudson County
WEST ORANGE,West Orange,Essex,90363,ESSEX,722.0,Essex County
WEST WILDWOOD,West Wildwood,Cape May,50795,CAPE MAY,,
WEST WINDSOR,West Windsor,Mercer,161750,MERCER,1113.0,Mercer County
WESTAMPTON,Westampton,Burlington,101653,BURLINGTON,337.0,Burlington County
WESTFIELD,Westfield,Union,146734,UNION,2020.0,Union County
WESTVILLE,Westville,Gloucester,58824,GLOUCESTER,821.0,Gloucester County
WESTWOODD,Westwoodd,Bergen,85849,BERGEN,,
WEYMOUTH TOWNSHIP,Weymouth Township,Atlantic,56681,ATLANTIC,,
WHARTON,Wharton,Morris,66579,MORRIS,1439.0,Morris County
WHITE TOWNSHIP,White Township,Warren,51524,WARREN,,
WILDWOOD,Wildwood,Cape May,27067,CAPE MAY,,
WILDWOOD CREST,Wildwood Crest,Cape May,65547,CAPE MAY,,
WILLINGBORO,Willingboro,Burlington,64969,BURLINGTON,338.0,Burlington County
WINFIELD,Winfield,Union,54167,UNION,2021.0,Union County
WINSLOW,Winslow,Camden,72934,CAMDEN,436.0,Camden County
WOOD-RIDGE,Wood-Ridge,Bergen,96988,BERGEN,,
WOODBINE,Woodbine,Cape May,34906,CAPE MAY,,
WOODBRIDGE,Woodbridge,Middlesex,79720,MIDDLESEX,1225.0,Middlesex County
WOODBURY,Woodbury,Gloucester,51922,GLOUCESTER,822.0,Gloucester County
WOODBURY HEIGHTS,Woodbury Heights,Gloucester,79653,GLOUCESTER,823.0,Gloucester County
WOODCLIFF LAKE,Woodcliff Lake,Bergen,139857,BERGEN,268.0,Bergen County
WOODLAND,Woodland,Burlington,88636,BURLINGTON,339.0,Burlington County
WOODLAND PARK,Woodland Park,Passaic,78708,PASSAIC,1616.0,Passaic County
WOODLYNNE,Woodlynne,Camden,40913,CAMDEN,437.0,Camden County
WOODSTOWN,Woodstown,Salem,82738,SALEM,1715.0,Salem County
WOOLWICH,Woolwich,Gloucester,118509,GLOUCESTER,824.0,Gloucester County
WRIGHTSTOWN,Wrightstown,Burlington,46625,BURLINGTON,340.0,Burlington County
WYCKOFF,Wyckoff,Bergen,131714,BERGEN,270.0,Bergen County
